PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32029967","Novel therapeutic targets for amyotrophic lateral sclerosis","Batra G, Jain M, Singh RS, Sharma AR, Singh A, Prakash A, Medhi B.","Indian J Pharmacol. 2019 Nov-Dec;51(6):418-425. doi: 10.4103/ijp.IJP_823_19. Epub 2020 Jan 16.","Batra G","Indian J Pharmacol","2019","2020/02/08","PMC6984016","","10.4103/ijp.IJP_823_19"
"33993457","Pathophysiology and Treatment of Non-motor Dysfunction in Amyotrophic Lateral Sclerosis","Mahoney CJ, Ahmed RM, Huynh W, Tu S, Rohrer JD, Bedlack RS, Hardiman O, Kiernan MC.","CNS Drugs. 2021 May;35(5):483-505. doi: 10.1007/s40263-021-00820-1. Epub 2021 May 15.","Mahoney CJ","CNS Drugs","2021","2021/05/16","","","10.1007/s40263-021-00820-1"
"32905613","Military service and related risk factors for amyotrophic lateral sclerosis","McKay KA, Smith KA, Smertinaite L, Fang F, Ingre C, Taube F.","Acta Neurol Scand. 2021 Jan;143(1):39-50. doi: 10.1111/ane.13345. Epub 2020 Oct 12.","McKay KA","Acta Neurol Scand","2021","2020/09/09","PMC7756624","","10.1111/ane.13345"
"32097525","Antidiabetics, statins and the risk of amyotrophic lateral sclerosis","Mariosa D, Kamel F, Bellocco R, Ronnevi LO, Almqvist C, Larsson H, Ye W, Fang F.","Eur J Neurol. 2020 Jun;27(6):1010-1016. doi: 10.1111/ene.14190. Epub 2020 Mar 17.","Mariosa D","Eur J Neurol","2020","2020/02/26","","","10.1111/ene.14190"
"34836059","Nutrient Effects on Motor Neurons and the Risk of Amyotrophic Lateral Sclerosis","Goncharova PS, Davydova TK, Popova TE, Novitsky MA, Petrova MM, Gavrilyuk OA, Al-Zamil M, Zhukova NG, Nasyrova RF, Shnayder NA.","Nutrients. 2021 Oct 26;13(11):3804. doi: 10.3390/nu13113804.","Goncharova PS","Nutrients","2021","2021/11/27","PMC8622539","","10.3390/nu13113804"
"34209133","Metabolic Abnormalities, Dietary Risk Factors and Nutritional Management in Amyotrophic Lateral Sclerosis","D'Amico E, Grosso G, Nieves JW, Zanghì A, Factor-Litvak P, Mitsumoto H.","Nutrients. 2021 Jun 30;13(7):2273. doi: 10.3390/nu13072273.","D'Amico E","Nutrients","2021","2021/07/02","PMC8308334","","10.3390/nu13072273"
"32985910","Pre-diagnostic plasma lipid levels and the risk of amyotrophic lateral sclerosis","Bjornevik K, O'Reilly ÉJ, Cortese M, Furtado JD, Kolonel LN, Le Marchand L, Mccullough ML, Paganoni S, Schwarzschild MA, Shadyab AH, Manson JE, Ascherio A.","Amyotroph Lateral Scler Frontotemporal Degener. 2021 Feb;22(1-2):133-143. doi: 10.1080/21678421.2020.1822411. Epub 2020 Sep 28.","Bjornevik K","Amyotroph Lateral Scler Frontotemporal Degener","2021","2020/09/28","PMC8004541","NIHMS1660210","10.1080/21678421.2020.1822411"
"33821701","Occupation and amyotrophic lateral sclerosis risk: a case-control study in the isolated island population of Malta","Farrugia Wismayer M, Borg R, Farrugia Wismayer A, Bonavia K, Vella M, Pace A, Vassallo N, Cauchi RJ.","Amyotroph Lateral Scler Frontotemporal Degener. 2021 Nov;22(7-8):528-534. doi: 10.1080/21678421.2021.1905847. Epub 2021 Apr 6.","Farrugia Wismayer M","Amyotroph Lateral Scler Frontotemporal Degener","2021","2021/04/06","","","10.1080/21678421.2021.1905847"
"33563800","Risk factors for cognitive impairment in amyotrophic lateral sclerosis: a systematic review and meta-analysis","Yang T, Hou Y, Li C, Cao B, Cheng Y, Wei Q, Zhang L, Shang H.","J Neurol Neurosurg Psychiatry. 2021 Jul;92(7):688-693. doi: 10.1136/jnnp-2020-325701. Epub 2021 Feb 9.","Yang T","J Neurol Neurosurg Psychiatry","2021","2021/02/10","","","10.1136/jnnp-2020-325701"
"27418175","Occupational exposures and the risk of amyotrophic lateral sclerosis","Peters TL, Kamel F, Lundholm C, Feychting M, Weibull CE, Sandler DP, Wiebert P, Sparén P, Ye W, Fang F.","Occup Environ Med. 2017 Feb;74(2):87-92. doi: 10.1136/oemed-2016-103700. Epub 2016 Jul 14.","Peters TL","Occup Environ Med","2017","2016/07/16","PMC5451107","NIHMS855257","10.1136/oemed-2016-103700"
"32331298","Environmental and Occupational Risk Factors of Amyotrophic Lateral Sclerosis: A Population-Based Case-Control Study","Filippini T, Tesauro M, Fiore M, Malagoli C, Consonni M, Violi F, Iacuzio L, Arcolin E, Oliveri Conti G, Cristaldi A, Zuccarello P, Zucchi E, Mazzini L, Pisano F, Gagliardi I, Patti F, Mandrioli J, Ferrante M, Vinceti M.","Int J Environ Res Public Health. 2020 Apr 22;17(8):2882. doi: 10.3390/ijerph17082882.","Filippini T","Int J Environ Res Public Health","2020","2020/04/26","PMC7216189","","10.3390/ijerph17082882"
"33923256","Amyotrophic Lateral Sclerosis Risk, Family Income, and Fish Consumption Estimates of Mercury and Omega-3 PUFAs in the United States","Hoffman HI, Bradley WG, Chen CY, Pioro EP, Stommel EW, Andrew AS.","Int J Environ Res Public Health. 2021 Apr 24;18(9):4528. doi: 10.3390/ijerph18094528.","Hoffman HI","Int J Environ Res Public Health","2021","2021/04/30","PMC8123167","","10.3390/ijerph18094528"
"34099747","Residential exposure to electromagnetic fields and risk of amyotrophic lateral sclerosis: a dose-response meta-analysis","Filippini T, Hatch EE, Vinceti M.","Sci Rep. 2021 Jun 7;11(1):11939. doi: 10.1038/s41598-021-91349-2.","Filippini T","Sci Rep","2021","2021/06/08","PMC8185090","","10.1038/s41598-021-91349-2"
"28864407","Military service and the risk of amyotrophic lateral sclerosis: A meta-analysis","Tai H, Cui L, Shen D, Li D, Cui B, Fang J.","J Clin Neurosci. 2017 Nov;45:337-342. doi: 10.1016/j.jocn.2017.08.035. Epub 2017 Aug 31.","Tai H","J Clin Neurosci","2017","2017/09/03","","","10.1016/j.jocn.2017.08.035"
"32019087","Clinical and Lifestyle Factors and Risk of Amyotrophic Lateral Sclerosis: A Population-Based Case-Control Study","Filippini T, Fiore M, Tesauro M, Malagoli C, Consonni M, Violi F, Arcolin E, Iacuzio L, Oliveri Conti G, Cristaldi A, Zuccarello P, Zucchi E, Mazzini L, Pisano F, Gagliardi I, Patti F, Mandrioli J, Ferrante M, Vinceti M.","Int J Environ Res Public Health. 2020 Jan 30;17(3):857. doi: 10.3390/ijerph17030857.","Filippini T","Int J Environ Res Public Health","2020","2020/02/06","PMC7037077","","10.3390/ijerph17030857"
"29277115","Pre-diagnostic plasma urate and the risk of amyotrophic lateral sclerosis","O'Reilly ÉJ, Bjornevik K, Schwarzschild MA, McCullough ML, Kolonel LN, Le Marchand L, Manson JE, Ascherio A.","Amyotroph Lateral Scler Frontotemporal Degener. 2018 May;19(3-4):194-200. doi: 10.1080/21678421.2017.1418005. Epub 2017 Dec 26.","O'Reilly ÉJ","Amyotroph Lateral Scler Frontotemporal Degener","2018","2017/12/27","PMC6423442","NIHMS1503673","10.1080/21678421.2017.1418005"
"31853962","Cell-based therapies for amyotrophic lateral sclerosis/motor neuron disease","Abdul Wahid SF, Law ZK, Ismail NA, Lai NM.","Cochrane Database Syst Rev. 2019 Dec 19;12(12):CD011742. doi: 10.1002/14651858.CD011742.pub3.","Abdul Wahid SF","Cochrane Database Syst Rev","2019","2019/12/20","PMC6920743","","10.1002/14651858.CD011742.pub3"
"30398087","Risk factors for social withdrawal in amyotrophic lateral sclerosis/motor neurone disease","Schlüter DK, Tennant A, Mills R, Diggle PJ, Young CA.","Amyotroph Lateral Scler Frontotemporal Degener. 2018 Nov;19(7-8):591-598. doi: 10.1080/21678421.2018.1508477. Epub 2018 Nov 6.","Schlüter DK","Amyotroph Lateral Scler Frontotemporal Degener","2018","2018/11/07","","","10.1080/21678421.2018.1508477"
"32301340","UK case control study of smoking and risk of amyotrophic lateral sclerosis","Opie-Martin S, Jones A, Iacoangeli A, Al-Khleifat A, Oumar M, Shaw PJ, Shaw CE, Morrison KE, Wootton RE, Davey-Smith G, Pearce N, Al-Chalabi A.","Amyotroph Lateral Scler Frontotemporal Degener. 2020 May;21(3-4):222-227. doi: 10.1080/21678421.2019.1706580. Epub 2020 Apr 17.","Opie-Martin S","Amyotroph Lateral Scler Frontotemporal Degener","2020","2020/04/18","PMC7261396","","10.1080/21678421.2019.1706580"
"31058354","Is TNF inhibitor exposure a risk factor for amyotrophic lateral sclerosis?","Petitpain N, Devos D, Bagheri H, Rocher F, Gouraud A, Masmoudi K, Coquerel A.","Fundam Clin Pharmacol. 2019 Dec;33(6):689-694. doi: 10.1111/fcp.12480. Epub 2019 May 29.","Petitpain N","Fundam Clin Pharmacol","2019","2019/05/07","","","10.1111/fcp.12480"
"31618791","Is TNF inhibitor exposure a risk factor for amyotrophic lateral sclerosis?","Bougea A.","Fundam Clin Pharmacol. 2019 Dec;33(6):687-688. doi: 10.1111/fcp.12513.","Bougea A","Fundam Clin Pharmacol","2019","2019/10/17","","","10.1111/fcp.12513"
"32651855","Meta-analysis of the association between CHCHD10 Pro34Ser variant and the risk of amyotrophic lateral sclerosis","Yang B, Yang C, Ren J, Zhong C, Liu K, Zhao L, Li L, Wang H, Zhu M, Lin Z.","Neurol Sci. 2021 Feb;42(2):625-631. doi: 10.1007/s10072-020-04579-z. Epub 2020 Jul 10.","Yang B","Neurol Sci","2021","2020/07/12","","","10.1007/s10072-020-04579-z"
"28029705","Cardiometabolic health and risk of amyotrophic lateral sclerosis","Timmins HC, Saw W, Cheah BC, Lin CSY, Vucic S, Ahmed RM, Kiernan MC, Park SB.","Muscle Nerve. 2017 Oct;56(4):721-725. doi: 10.1002/mus.25547. Epub 2017 Mar 24.","Timmins HC","Muscle Nerve","2017","2016/12/29","","","10.1002/mus.25547"
"31155341","Environmental risk factors and amyotrophic lateral sclerosis (ALS): A case-control study of ALS in China","Lian L, Liu M, Cui L, Guan Y, Liu T, Cui B, Zhang K, Tai H, Shen D.","J Clin Neurosci. 2019 Aug;66:12-18. doi: 10.1016/j.jocn.2019.05.036. Epub 2019 May 30.","Lian L","J Clin Neurosci","2019","2019/06/04","","","10.1016/j.jocn.2019.05.036"
"23543531","Mechanical ventilation for amyotrophic lateral sclerosis/motor neuron disease","Radunovic A, Annane D, Rafiq MK, Mustfa N.","Cochrane Database Syst Rev. 2013 Mar 28;(3):CD004427. doi: 10.1002/14651858.CD004427.pub3.","Radunovic A","Cochrane Database Syst Rev","2013","2013/04/02","","","10.1002/14651858.CD004427.pub3"
"32978838","Cardiovascular disease, psychiatric diagnosis and sex differences in the multistep hypothesis of amyotrophic lateral sclerosis","Garton FC, Trabjerg BB, Wray NR, Agerbo E.","Eur J Neurol. 2021 Feb;28(2):421-429. doi: 10.1111/ene.14554. Epub 2020 Oct 25.","Garton FC","Eur J Neurol","2021","2020/09/26","","","10.1111/ene.14554"
"34229610","National registry for amyotrophic lateral sclerosis: a systematic review for structuring population registries of motor neuron diseases","Barbalho I, Valentim R, Júnior MD, Barros D, Júnior HP, Fernandes F, Teixeira C, Lima T, Paiva J, Nagem D.","BMC Neurol. 2021 Jul 6;21(1):269. doi: 10.1186/s12883-021-02298-2.","Barbalho I","BMC Neurol","2021","2021/07/07","PMC8259351","","10.1186/s12883-021-02298-2"
"34200812","Diabetes Mellitus and Amyotrophic Lateral Sclerosis: A Systematic Review","Ferri L, Ajdinaj P, Rispoli MG, Carrarini C, Barbone F, D'Ardes D, Capasso M, Muzio AD, Cipollone F, Onofrj M, Bonanni L.","Biomolecules. 2021 Jun 10;11(6):867. doi: 10.3390/biom11060867.","Ferri L","Biomolecules","2021","2021/07/02","PMC8230511","","10.3390/biom11060867"
"33423565","Trauma and amyotrophic lateral sclerosis: a systematic review and meta-analysis","Gu D, Ou S, Tang M, Yin Z, Wang Z, Liu G.","Amyotroph Lateral Scler Frontotemporal Degener. 2021 May;22(3-4):170-185. doi: 10.1080/21678421.2020.1861024. Epub 2021 Jan 11.","Gu D","Amyotroph Lateral Scler Frontotemporal Degener","2021","2021/01/11","","","10.1080/21678421.2020.1861024"
"15266526","Ciliary neurotrophic factor (CNTF) for amyotrophic lateral sclerosis/motor neuron disease","Bongioanni P, Reali C, Sogos V.","Cochrane Database Syst Rev. 2004;2004(3):CD004302. doi: 10.1002/14651858.CD004302.pub2.","Bongioanni P","Cochrane Database Syst Rev","2004","2004/07/22","PMC8078584","","10.1002/14651858.CD004302.pub2"
"22424129","Is head trauma a risk factor for amyotrophic lateral sclerosis? An evidence based review","Armon C, Nelson LM.","Amyotroph Lateral Scler. 2012 Jun;13(4):351-6. doi: 10.3109/17482968.2012.660954. Epub 2012 Mar 16.","Armon C","Amyotroph Lateral Scler","2012","2012/03/20","","","10.3109/17482968.2012.660954"
"28201634","Occupations and amyotrophic lateral sclerosis: are jobs exposed to the general public at higher risk?","D'Ovidio F, d'Errico A, Calvo A, Costa G, Chiò A.","Eur J Public Health. 2017 Aug 1;27(4):643-647. doi: 10.1093/eurpub/ckx006.","D'Ovidio F","Eur J Public Health","2017","2017/02/16","","","10.1093/eurpub/ckx006"
"19922117","Exposure to chemicals and metals and risk of amyotrophic lateral sclerosis: a systematic review","Sutedja NA, Veldink JH, Fischer K, Kromhout H, Heederik D, Huisman MH, Wokke JH, van den Berg LH.","Amyotroph Lateral Scler. 2009 Oct-Dec;10(5-6):302-9. doi: 10.3109/17482960802455416.","Sutedja NA","Amyotroph Lateral Scler","2009","2009/11/20","","","10.3109/17482960802455416"
"20639382","Smoking and the risk of amyotrophic lateral sclerosis: a systematic review and meta-analysis","Alonso A, Logroscino G, Hernán MA.","J Neurol Neurosurg Psychiatry. 2010 Nov;81(11):1249-52. doi: 10.1136/jnnp.2009.180232. Epub 2010 Jul 16.","Alonso A","J Neurol Neurosurg Psychiatry","2010","2010/07/20","","","10.1136/jnnp.2009.180232"
"26260352","Cerebrovascular injury as a risk factor for amyotrophic lateral sclerosis","Turner MR, Goldacre R, Talbot K, Goldacre MJ.","J Neurol Neurosurg Psychiatry. 2016 Mar;87(3):244-6. doi: 10.1136/jnnp-2015-311157. Epub 2015 Aug 10.","Turner MR","J Neurol Neurosurg Psychiatry","2016","2015/08/12","PMC4789816","","10.1136/jnnp-2015-311157"
"33918092","The Links between ALS and NF-κB","Källstig E, McCabe BD, Schneider BL.","Int J Mol Sci. 2021 Apr 8;22(8):3875. doi: 10.3390/ijms22083875.","Källstig E","Int J Mol Sci","2021","2021/04/30","PMC8070122","","10.3390/ijms22083875"
"26988875","Risk agents related to work and amyotrophic lateral sclerosis: An occupational medicine focus","Garzillo EM, Miraglia N, Pedata P, Feola D, Lamberti M.","Int J Occup Med Environ Health. 2016;29(3):355-67. doi: 10.13075/ijomeh.1896.00368.","Garzillo EM","Int J Occup Med Environ Health","2016","2016/03/19","","","10.13075/ijomeh.1896.00368"
"27492589","Motor Neuron Disease: New insights into genetic risk factors for amyotrophic lateral sclerosis","Malkki H.","Nat Rev Neurol. 2016 Sep;12(9):491. doi: 10.1038/nrneurol.2016.117. Epub 2016 Aug 5.","Malkki H","Nat Rev Neurol","2016","2016/08/06","","","10.1038/nrneurol.2016.117"
"31722299","[A Brief Review on Recent Epidemiologic Literature and Risk Factors of Amyotrophic Lateral Sclerosis]","Narita Y.","Brain Nerve. 2019 Nov;71(11):1129-1137. doi: 10.11477/mf.1416201422.","Narita Y","Brain Nerve","2019","2019/11/14","","","10.11477/mf.1416201422"
"33331190","Associations between autoimmune diseases and amyotrophic lateral sclerosis: a register-based study","Cui C, Longinetti E, Larsson H, Andersson J, Pawitan Y, Piehl F, Fang F.","Amyotroph Lateral Scler Frontotemporal Degener. 2021 May;22(3-4):211-219. doi: 10.1080/21678421.2020.1861022. Epub 2020 Dec 17.","Cui C","Amyotroph Lateral Scler Frontotemporal Degener","2021","2020/12/17","","","10.1080/21678421.2020.1861022"
"32941938","Amyotrophic lateral sclerosis and lead: A systematic update","Farace C, Fenu G, Lintas S, Oggiano R, Pisano A, Sabalic A, Solinas G, Bocca B, Forte G, Madeddu R.","Neurotoxicology. 2020 Dec;81:80-88. doi: 10.1016/j.neuro.2020.09.003. Epub 2020 Sep 14.","Farace C","Neurotoxicology","2020","2020/09/17","","","10.1016/j.neuro.2020.09.003"
"24246552","Environmental and occupational risk factors for amyotrophic lateral sclerosis: a case-control study","Malek AM, Barchowsky A, Bowser R, Heiman-Patterson T, Lacomis D, Rana S, Youk A, Stickler D, Lackland DT, Talbott EO.","Neurodegener Dis. 2014;14(1):31-8. doi: 10.1159/000355344. Epub 2013 Nov 12.","Malek AM","Neurodegener Dis","2014","2013/11/20","","","10.1159/000355344"
"34023151","Physical activity and amyotrophic lateral sclerosis: a Mendelian randomization study","Zhang G, Zhang L, Tang L, Xia K, Huang T, Fan D.","Neurobiol Aging. 2021 Sep;105:374.e1-374.e4. doi: 10.1016/j.neurobiolaging.2021.04.010. Epub 2021 Apr 22.","Zhang G","Neurobiol Aging","2021","2021/05/23","","","10.1016/j.neurobiolaging.2021.04.010"
"33423011","Cardiovascular comorbidities in amyotrophic lateral sclerosis","Pereira M, Gromicho M, Henriques A, Pronto-Laborinho AC, Grosskreutz J, Kuźma-Kozakiewicz M, Petri S, Uysal H, Swash M, de Carvalho M.","J Neurol Sci. 2021 Feb 15;421:117292. doi: 10.1016/j.jns.2020.117292. Epub 2020 Dec 25.","Pereira M","J Neurol Sci","2021","2021/01/10","","","10.1016/j.jns.2020.117292"
"21551170","Amyotrophic lateral sclerosis and vascular risk: a metabolic conundrum","Hardiman O.","J Neurol Neurosurg Psychiatry. 2011 Jun;82(6):591. doi: 10.1136/jnnp.2011.241539.","Hardiman O","J Neurol Neurosurg Psychiatry","2011","2011/05/10","","","10.1136/jnnp.2011.241539"
"23286757","Is exposure to cyanobacteria an environmental risk factor for amyotrophic lateral sclerosis and other neurodegenerative diseases?","Bradley WG, Borenstein AR, Nelson LM, Codd GA, Rosen BH, Stommel EW, Cox PA.","Amyotroph Lateral Scler Frontotemporal Degener. 2013 Sep;14(5-6):325-33. doi: 10.3109/21678421.2012.750364. Epub 2013 Jan 4.","Bradley WG","Amyotroph Lateral Scler Frontotemporal Degener","2013","2013/01/05","","","10.3109/21678421.2012.750364"
"33006184","Risk factors for amyotrophic lateral sclerosis: A regional United States case-control study","Andrew AS, Bradley WG, Peipert D, Butt T, Amoako K, Pioro EP, Tandan R, Novak J, Quick A, Pugar KD, Sawlani K, Katirji B, Hayes TA, Cazzolli P, Gui J, Mehta P, Horton DK, Stommel EW.","Muscle Nerve. 2021 Jan;63(1):52-59. doi: 10.1002/mus.27085. Epub 2020 Oct 18.","Andrew AS","Muscle Nerve","2021","2020/10/02","PMC7821307","","10.1002/mus.27085"
"26731747","Environmental Risk Factors and Amyotrophic Lateral Sclerosis: An Umbrella Review and Critical Assessment of Current Evidence from Systematic Reviews and Meta-Analyses of Observational Studies","Belbasis L, Bellou V, Evangelou E.","Neuroepidemiology. 2016;46(2):96-105. doi: 10.1159/000443146. Epub 2016 Jan 6.","Belbasis L","Neuroepidemiology","2016","2016/01/06","","","10.1159/000443146"
"23418211","Lifetime physical activity and the risk of amyotrophic lateral sclerosis","Huisman MH, Seelen M, de Jong SW, Dorresteijn KR, van Doormaal PT, van der Kooi AJ, de Visser M, Schelhaas HJ, van den Berg LH, Veldink JH.","J Neurol Neurosurg Psychiatry. 2013 Sep;84(9):976-81. doi: 10.1136/jnnp-2012-304724. Epub 2013 Feb 16.","Huisman MH","J Neurol Neurosurg Psychiatry","2013","2013/02/19","","","10.1136/jnnp-2012-304724"
"33031990","Diabetes mellitus is associated with a lower risk of amyotrophic lateral sclerosis: A systematic review and meta-analysis","Wannarong T, Ungprasert P.","Clin Neurol Neurosurg. 2020 Dec;199:106248. doi: 10.1016/j.clineuro.2020.106248. Epub 2020 Sep 28.","Wannarong T","Clin Neurol Neurosurg","2020","2020/10/08","","","10.1016/j.clineuro.2020.106248"
"26968841","Physical activity and risk of Amyotrophic Lateral Sclerosis in a prospective cohort study","Gallo V, Vanacore N, Bueno-de-Mesquita HB, Vermeulen R, Brayne C, Pearce N, Wark PA, Ward HA, Ferrari P, Jenab M, Andersen PM, Wennberg P, Wareham N, Katzke V, Kaaks R, Weiderpass E, Peeters PH, Mattiello A, Pala V, Barricante A, Chirlaque MD, Travier N, Travis RC, Sanchez MJ, Pessah-Rasmussen H, Petersson J, Tjønneland A, Tumino R, Quiros JR, Trichopoulou A, Kyrozis A, Oikonomidou D, Masala G, Sacerdote C, Arriola L, Boeing H, Vigl M, Claver-Chapelon F, Middleton L, Riboli E, Vineis P.","Eur J Epidemiol. 2016 Mar;31(3):255-66. doi: 10.1007/s10654-016-0119-9. Epub 2016 Mar 11.","Gallo V","Eur J Epidemiol","2016","2016/03/13","PMC4820490","","10.1007/s10654-016-0119-9"
"29268633","Amyotrophic lateral sclerosis and food intake","Pupillo E, Bianchi E, Chiò A, Casale F, Zecca C, Tortelli R, Beghi E; SLALOM Group; PARALS Group; SLAP Group.","Amyotroph Lateral Scler Frontotemporal Degener. 2018 May;19(3-4):267-274. doi: 10.1080/21678421.2017.1418002. Epub 2017 Dec 21.","Pupillo E","Amyotroph Lateral Scler Frontotemporal Degener","2018","2017/12/23","","","10.1080/21678421.2017.1418002"
"17943766","Recombinant human insulin-like growth factor I (rhIGF-I) for amyotrophic lateral sclerosis/motor neuron disease","Mitchell JD, Wokke JH, Borasio GD.","Cochrane Database Syst Rev. 2007 Oct 17;(4):CD002064. doi: 10.1002/14651858.CD002064.pub2.","Mitchell JD","Cochrane Database Syst Rev","2007","2007/10/19","","","10.1002/14651858.CD002064.pub2"
"27124833","Preliminary Results of National Amyotrophic Lateral Sclerosis (ALS) Registry Risk Factor Survey Data","Bryan L, Kaye W, Antao V, Mehta P, Muravov O, Horton DK.","PLoS One. 2016 Apr 28;11(4):e0153683. doi: 10.1371/journal.pone.0153683. eCollection 2016.","Bryan L","PLoS One","2016","2016/04/29","PMC4849726","","10.1371/journal.pone.0153683"
"29282133","Is amyotrophic lateral sclerosis/frontotemporal dementia an autophagy disease?","Deng Z, Sheehan P, Chen S, Yue Z.","Mol Neurodegener. 2017 Dec 28;12(1):90. doi: 10.1186/s13024-017-0232-6.","Deng Z","Mol Neurodegener","2017","2017/12/29","PMC5746010","","10.1186/s13024-017-0232-6"
"33544228","The links between diabetes mellitus and amyotrophic lateral sclerosis","Vasta R, D'Ovidio F, Logroscino G, Chiò A.","Neurol Sci. 2021 Apr;42(4):1377-1387. doi: 10.1007/s10072-021-05099-0. Epub 2021 Feb 5.","Vasta R","Neurol Sci","2021","2021/02/05","PMC7955983","","10.1007/s10072-021-05099-0"
"23151261","Parental age and the risk of amyotrophic lateral sclerosis","de Jong SW, Huisman MH, Hennekam EA, Sutedja NA, van der Kooi AJ, de Visser M, Schelhaas HJ, Fischer K, Veldink JH, van den Berg LH.","Amyotroph Lateral Scler Frontotemporal Degener. 2013 Apr;14(3):224-7. doi: 10.3109/21678421.2012.739176. Epub 2012 Nov 14.","de Jong SW","Amyotroph Lateral Scler Frontotemporal Degener","2013","2012/11/16","","","10.3109/21678421.2012.739176"
"32583689","Focus on the heterogeneity of amyotrophic lateral sclerosis","Bendotti C, Bonetto V, Pupillo E, Logroscino G, Al-Chalabi A, Lunetta C, Riva N, Mora G, Lauria G, Weishaupt JH, Agosta F, Malaspina A, Basso M, Greensmith L, Van Den Bosch L, Ratti A, Corbo M, Hardiman O, Chiò A, Silani V, Beghi E.","Amyotroph Lateral Scler Frontotemporal Degener. 2020 Nov;21(7-8):485-495. doi: 10.1080/21678421.2020.1779298. Epub 2020 Jun 25.","Bendotti C","Amyotroph Lateral Scler Frontotemporal Degener","2020","2020/06/26","","","10.1080/21678421.2020.1779298"
"29080013","Meta-analytic evaluation of the association between head injury and risk of amyotrophic lateral sclerosis","Watanabe Y, Watanabe T.","Eur J Epidemiol. 2017 Oct;32(10):867-879. doi: 10.1007/s10654-017-0327-y. Epub 2017 Oct 27.","Watanabe Y","Eur J Epidemiol","2017","2017/10/29","","","10.1007/s10654-017-0327-y"
"27027889","Amyotrophic lateral sclerosis and environmental factors","Bozzoni V, Pansarasa O, Diamanti L, Nosari G, Cereda C, Ceroni M.","Funct Neurol. 2016 Jan-Mar;31(1):7-19. doi: 10.11138/fneur/2016.31.1.007.","Bozzoni V","Funct Neurol","2016","2016/03/31","PMC4819821","","10.11138/fneur/2016.31.1.007"
